scenario,date,pair,case,label,subject_id,window_duration,shift_tau,start_time,end_time
1,20231208,005-006,A,0,005,3.0,1.5,3.4,6.4
1,20231208,005-006,A,0,005,3.0,1.5,9.4,12.4
1,20231208,005-006,D,0,005,3.0,1.5,11.7,14.7
1,20231208,005-006,A,0,005,3.0,1.5,24.5,27.5
1,20231208,005-006,C,1,5,3.0,1.5,32.7,35.7
1,20231208,005-006,C,1,6,3.0,1.5,35.3,38.3
1,20231208,005-006,A,0,005,3.0,1.5,37.1,40.1
1,20231208,005-006,A,0,005,3.0,1.5,40.6,43.6
1,20231208,005-006,A,0,005,3.0,1.5,42.3,45.3
1,20231208,005-006,A,0,005,3.0,1.5,43.2,46.2
1,20231208,005-006,A,0,005,3.0,1.5,53.3,56.3
13,20231208,005-006,C,1,5,3.0,1.5,3.6,6.6
13,20231208,005-006,B,1,6,3.0,1.5,6.1,9.1
13,20231208,005-006,C,1,5,3.0,1.5,7.0,10.0
13,20231208,005-006,A,0,006,3.0,1.5,9.5,12.5
13,20231208,005-006,A,0,006,3.0,1.5,13.5,16.5
13,20231208,005-006,A,0,006,3.0,1.5,14.7,17.7
13,20231208,005-006,A,0,006,3.0,1.5,15.9,18.9
13,20231208,005-006,A,0,006,3.0,1.5,18.2,21.2
13,20231208,005-006,A,0,006,3.0,1.5,19.8,22.8
13,20231208,005-006,A,0,006,3.0,1.5,22.7,25.7
13,20231208,005-006,C,1,6,3.0,1.5,25.0,28.0
13,20231208,005-006,D,0,005,3.0,1.5,26.5,29.5
13,20231208,005-006,C,1,5,3.0,1.5,32.9,35.9
13,20231208,005-006,D,0,006,3.0,1.5,36.0,39.0
13,20231208,005-006,A,0,006,3.0,1.5,38.2,41.2
13,20231208,005-006,A,0,006,3.0,1.5,42.8,45.8
13,20231208,005-006,C,1,6,3.0,1.5,44.4,47.4
13,20231208,005-006,C,1,5,3.0,1.5,46.3,49.3
13,20231208,005-006,C,1,6,3.0,1.5,47.2,50.2
13,20231208,005-006,C,1,5,3.0,1.5,48.6,51.6
13,20231208,005-006,C,1,6,3.0,1.5,49.5,52.5
13,20231208,005-006,C,1,5,3.0,1.5,50.1,53.1
26,20240126,006-008,C,1,8,3.0,1.5,5.9,8.9
26,20240126,006-008,C,1,6,3.0,1.5,7.2,10.2
26,20240126,006-008,C,1,8,3.0,1.5,14.5,17.5
26,20240126,006-008,C,1,6,3.0,1.5,18.8,21.8
26,20240126,006-008,C,1,8,3.0,1.5,19.0,22.0
26,20240126,006-008,C,1,6,3.0,1.5,20.7,23.7
26,20240126,006-008,C,1,8,3.0,1.5,21.5,24.5
26,20240126,006-008,C,1,6,3.0,1.5,23.0,26.0
26,20240126,006-008,D,0,008,3.0,1.5,28.8,31.8
26,20240126,006-008,A,0,008,3.0,1.5,31.5,34.5
26,20240126,006-008,B,1,8,3.0,1.5,36.4,39.4
26,20240126,006-008,C,1,6,3.0,1.5,37.5,40.5
26,20240126,006-008,D,0,008,3.0,1.5,39.8,42.8
26,20240126,006-008,A,0,008,3.0,1.5,45.5,48.5
26,20240126,006-008,B,1,8,3.0,1.5,46.7,49.7
27,20231208,005-006,C,1,5,3.0,1.5,0.8,3.8
27,20231208,005-006,B,1,6,3.0,1.5,2.2,5.2
27,20231208,005-006,C,1,5,3.0,1.5,2.3,5.3
27,20231208,005-006,B,1,6,3.0,1.5,9.5,12.5
27,20231208,005-006,A,0,005,3.0,1.5,13.0,16.0
27,20231208,005-006,C,1,5,3.0,1.5,15.5,18.5
27,20231208,005-006,C,1,6,3.0,1.5,16.6,19.6
27,20231208,005-006,C,1,5,3.0,1.5,19.0,22.0
27,20231208,005-006,C,1,6,3.0,1.5,21.9,24.9
27,20231208,005-006,A,0,005,3.0,1.5,42.6,45.6
27,20231208,005-006,A,0,005,3.0,1.5,44.0,47.0
27,20231208,005-006,D,0,005,3.0,1.5,46.9,49.9
27,20240126,006-008,A,0,006,3.0,1.5,3.8,6.8
27,20240126,006-008,A,0,006,3.0,1.5,5.3,8.3
27,20240126,006-008,B,1,6,3.0,1.5,11.3,14.3
27,20240126,006-008,D,0,008,3.0,1.5,18.0,21.0
27,20240126,006-008,B,1,8,3.0,1.5,19.0,22.0
27,20240126,006-008,B,1,6,3.0,1.5,19.7,22.7
27,20240126,006-008,C,1,8,3.0,1.5,25.3,28.3
27,20240126,006-008,C,1,6,3.0,1.5,28.0,31.0
27,20240126,006-008,B,1,8,3.0,1.5,34.2,37.2
27,20240126,006-008,B,1,6,3.0,1.5,37.6,40.6
27,20240126,006-008,A,0,008,3.0,1.5,38.7,41.7
27,20240126,006-008,C,1,8,3.0,1.5,48.5,51.5
27,20240126,006-008,C,1,6,3.0,1.5,49.7,52.7
27,20240126,006-008,C,1,8,3.0,1.5,52.0,55.0
27,20240126,006-008,B,1,6,3.0,1.5,53.2,56.2
27,20240126,006-008,A,0,008,3.0,1.5,56.4,59.4
27,20240126,006-008,C,1,8,3.0,1.5,57.0,60.0
27,20240126,006-008,B,1,6,3.0,1.5,58.5,61.5
27,20240126,006-008,A,0,008,3.0,1.5,60.0,63.0
27,20240126,006-008,C,1,8,3.0,1.5,62.1,65.1
27,20240126,006-008,C,1,6,3.0,1.5,62.7,65.7
27,20240126,006-008,C,1,8,3.0,1.5,64.8,67.8
27,20240126,006-008,B,1,6,3.0,1.5,69.2,72.2
27,20240126,006-008,B,1,8,3.0,1.5,76.1,79.1
27,20240126,006-008,B,1,6,3.0,1.5,78.0,81.0
27,20240126,006-008,C,1,8,3.0,1.5,79.3,82.3
27,20240126,006-008,B,1,6,3.0,1.5,81.5,84.5
27,20240126,006-008,B,1,8,3.0,1.5,82.4,85.4
28,20240126,006-008,B,1,6,3.0,1.5,2.6,5.6
28,20240126,006-008,C,1,8,3.0,1.5,9.8,12.8
28,20240126,006-008,C,1,6,3.0,1.5,11.7,14.7
28,20240126,006-008,B,1,8,3.0,1.5,15.3,18.3
28,20240126,006-008,C,1,6,3.0,1.5,18.2,21.2
28,20240126,006-008,C,1,8,3.0,1.5,20.7,23.7
28,20240126,006-008,C,1,6,3.0,1.5,23.7,26.7
28,20240126,006-008,B,1,8,3.0,1.5,30.7,33.7
28,20240126,006-008,C,1,6,3.0,1.5,32.4,35.4
28,20240126,006-008,D,0,008,3.0,1.5,40.7,43.7
28,20240126,006-008,A,0,008,3.0,1.5,42.5,45.5
29,20240126,006-008,D,0,008,3.0,1.5,0.9,3.9
29,20240126,006-008,A,0,008,3.0,1.5,2.6,5.6
29,20240126,006-008,A,0,008,3.0,1.5,6.2,9.2
29,20240126,006-008,A,0,008,3.0,1.5,11.5,14.5
29,20240126,006-008,A,0,008,3.0,1.5,12.5,15.5
29,20240126,006-008,C,1,8,3.0,1.5,15.6,18.6
29,20240126,006-008,B,1,6,3.0,1.5,17.7,20.7
29,20240126,006-008,C,1,8,3.0,1.5,20.9,23.9
29,20240126,006-008,B,1,6,3.0,1.5,21.7,24.7
29,20240126,006-008,A,0,008,3.0,1.5,24.3,27.3
29,20240126,006-008,D,0,008,3.0,1.5,25.4,28.4
29,20240126,006-008,C,1,8,3.0,1.5,28.0,31.0
29,20240126,006-008,B,1,6,3.0,1.5,30.4,33.4
29,20240126,006-008,C,1,8,3.0,1.5,32.4,35.4
29,20240126,006-008,B,1,6,3.0,1.5,34.3,37.3
29,20240126,006-008,B,1,8,3.0,1.5,38.4,41.4
29,20240126,006-008,A,0,006,3.0,1.5,39.8,42.8
29,20240126,006-008,B,1,6,3.0,1.5,42.8,45.8
29,20240126,006-008,A,0,008,3.0,1.5,45.8,48.8
29,20240126,006-008,A,0,008,3.0,1.5,50.4,53.4
29,20240126,006-008,C,1,8,3.0,1.5,51.3,54.3
30,20240126,006-008,C,1,8,3.0,1.5,0.4,3.4
30,20240126,006-008,D,0,006,3.0,1.5,6.2,9.2
30,20240126,006-008,B,1,6,3.0,1.5,9.0,12.0
30,20240126,006-008,C,1,8,3.0,1.5,12.3,15.3
30,20240126,006-008,B,1,6,3.0,1.5,13.8,16.8
30,20240126,006-008,A,0,008,3.0,1.5,15.8,18.8
30,20240126,006-008,B,1,8,3.0,1.5,19.8,22.8
30,20240126,006-008,C,1,6,3.0,1.5,22.7,25.7
30,20240126,006-008,C,1,8,3.0,1.5,23.1,26.1
30,20240126,006-008,A,0,006,3.0,1.5,24.3,27.3
30,20240126,006-008,C,1,6,3.0,1.5,31.3,34.3
30,20240126,006-008,C,1,8,3.0,1.5,34.9,37.9
30,20240126,006-008,B,1,6,3.0,1.5,37.1,40.1
30,20240126,006-008,A,0,008,3.0,1.5,43.8,46.8
30,20240126,006-008,A,0,008,3.0,1.5,51.7,54.7
31,20240126,006-008,C,1,6,3.0,1.5,0.7,3.7
31,20240126,006-008,C,1,8,3.0,1.5,3.0,6.0
31,20240126,006-008,C,1,6,3.0,1.5,3.4,6.4
31,20240126,006-008,C,1,8,3.0,1.5,4.6,7.6
31,20240126,006-008,B,1,6,3.0,1.5,6.8,9.8
31,20240126,006-008,B,1,8,3.0,1.5,16.5,19.5
31,20240126,006-008,C,1,6,3.0,1.5,20.0,23.0
31,20240126,006-008,A,0,008,3.0,1.5,24.5,27.5
31,20240126,006-008,B,1,8,3.0,1.5,26.3,29.3
31,20240126,006-008,C,1,6,3.0,1.5,27.1,30.1
31,20240126,006-008,B,1,8,3.0,1.5,30.4,33.4
31,20240126,006-008,C,1,6,3.0,1.5,31.3,34.3
31,20240126,006-008,C,1,8,3.0,1.5,37.7,40.7
31,20240126,006-008,C,1,6,3.0,1.5,40.1,43.1
31,20240126,006-008,A,0,008,3.0,1.5,44.2,47.2
31,20240126,006-008,A,0,008,3.0,1.5,46.8,49.8
31,20240126,006-008,B,1,8,3.0,1.5,54.1,57.1
31,20240126,006-008,B,1,6,3.0,1.5,55.4,58.4
32,20240126,006-008,B,1,6,3.0,1.5,2.0,5.0
32,20240126,006-008,C,1,8,3.0,1.5,4.2,7.2
32,20240126,006-008,B,1,6,3.0,1.5,6.9,9.9
32,20240126,006-008,A,0,008,3.0,1.5,8.5,11.5
32,20240126,006-008,C,1,8,3.0,1.5,12.2,15.2
32,20240126,006-008,C,1,6,3.0,1.5,15.8,18.8
32,20240126,006-008,D,0,008,3.0,1.5,18.9,21.9
32,20240126,006-008,B,1,8,3.0,1.5,21.1,24.1
32,20240126,006-008,C,1,6,3.0,1.5,21.8,24.8
32,20240126,006-008,C,1,8,3.0,1.5,23.9,26.9
32,20240126,006-008,C,1,6,3.0,1.5,32.8,35.8
32,20240126,006-008,C,1,8,3.0,1.5,36.6,39.6
32,20240126,006-008,A,0,006,3.0,1.5,37.7,40.7
32,20240126,006-008,B,1,6,3.0,1.5,39.1,42.1
32,20240126,006-008,A,0,008,3.0,1.5,41.0,44.0
32,20240126,006-008,A,0,008,3.0,1.5,46.7,49.7
32,20240126,006-008,B,1,8,3.0,1.5,47.9,50.9
32,20240126,006-008,A,0,006,3.0,1.5,48.9,51.9
32,20240126,006-008,A,0,006,3.0,1.5,51.1,54.1
33,20240126,006-008,B,1,6,3.0,1.5,0.6,3.6
33,20240126,006-008,A,0,008,3.0,1.5,6.1,9.1
33,20240126,006-008,C,1,8,3.0,1.5,7.5,10.5
33,20240126,006-008,C,1,6,3.0,1.5,8.6,11.6
33,20240126,006-008,A,0,008,3.0,1.5,10.3,13.3
33,20240126,006-008,A,0,008,3.0,1.5,13.6,16.6
33,20240126,006-008,A,0,008,3.0,1.5,17.9,20.9
33,20240126,006-008,C,1,8,3.0,1.5,18.9,21.9
33,20240126,006-008,C,1,6,3.0,1.5,22.9,25.9
33,20240126,006-008,A,0,008,3.0,1.5,33.9,36.9
33,20240126,006-008,A,0,008,3.0,1.5,45.2,48.2
33,20240126,006-008,C,1,8,3.0,1.5,46.0,49.0
33,20240126,006-008,C,1,6,3.0,1.5,47.7,50.7
