scenario,date,pair,case,label,subject_id,window_duration,start_time,end_time,fullbody_onset_time,fullbody_onset_delta_t,fullbody_onset_z_score,hands_onset_time,hands_onset_delta_t,hands_onset_z_score,upper_body_onset_time,upper_body_onset_delta_t,upper_body_onset_z_score,head_onset_time,head_onset_delta_t,head_onset_z_score
1,20231208,005-006,A,0,005,1.5,6.4,7.9,7.633,0.267,2.211,7.366,0.534,2.289,7.633,0.267,2.334,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,1.5,12.4,13.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.732,1.168,2.716
1,20231208,005-006,D,0,005,1.5,14.7,16.2,15.298,0.902,2.53,15.265,0.935,2.282,15.265,0.935,2.145,15.432,0.768,2.373
1,20231208,005-006,A,0,005,1.5,27.5,29.0,27.531,1.469,2.729,27.597,1.403,2.666,27.531,1.469,2.348,27.531,1.469,5.202
1,20231208,005-006,C,1,5,1.5,35.7,37.2,35.796,1.404,2.273,36.43,0.77,2.628,35.796,1.404,2.34,35.863,1.337,3.611
1,20231208,005-006,C,1,6,1.5,38.3,39.8,39.129,0.671,2.262,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,1.5,40.1,41.6,40.263,1.337,2.198,40.329,1.271,2.896,40.329,1.271,2.888,40.163,1.437,3.723
1,20231208,005-006,A,0,005,1.5,43.6,45.1,43.629,1.471,3.437,44.529,0.571,2.119,43.629,1.471,2.345,43.629,1.471,3.525
1,20231208,005-006,A,0,005,1.5,45.3,46.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,20231208,005-006,A,0,005,1.5,46.8,47.7,46.962,0.738,2.198,46.962,0.738,2.764,46.962,0.738,2.515,46.895,0.805,2.035
1,20231208,005-006,A,0,005,1.5,56.3,57.8,56.328,1.472,2.848,56.894,0.906,2.456,56.861,0.939,2.096,56.361,1.439,2.132
13,20231208,005-006,C,1,5,1.5,6.6,8.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,B,1,6,1.5,9.1,10.6,9.266,1.334,3.57,9.266,1.334,4.588,9.266,1.334,3.927,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,1.5,10.6,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.5,12.5,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.5,16.5,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.5,18.0,19.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.5,19.2,20.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.5,21.2,22.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.5,22.8,24.3,23.831,0.469,2.718,23.831,0.469,2.266,23.831,0.469,2.368,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.5,25.7,27.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,6,1.5,28.0,29.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,D,0,005,1.5,29.5,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.897,1.103,2.617
13,20231208,005-006,C,1,5,1.5,35.9,37.4,35.996,1.404,2.613,35.963,1.437,2.249,35.963,1.437,2.234,-1.0,-1.0,-1.0
13,20231208,005-006,D,0,006,1.5,39.0,40.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.5,41.2,42.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,A,0,006,1.5,45.8,47.3,46.895,0.405,3.497,46.895,0.405,3.363,46.862,0.438,2.3,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,6,1.5,47.4,48.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,1.5,49.3,50.8,49.928,0.872,2.229,49.962,0.838,2.087,49.928,0.872,2.583,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,6,1.5,50.8,51.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,1.5,51.7,53.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,6,1.5,53.1,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,20231208,005-006,C,1,5,1.5,54.0,54.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,8,1.5,8.9,10.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,6,1.5,10.4,11.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,20240126,006-008,C,1,8,1.5,17.5,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
